word,sent
hearing aid,"['how', 'to', 'pick', 'a', 'hearing', 'aid', 'brand/type', 'and', 'dispenser', '?']"
hearing aid,"['how', 'to', 'pick', 'a', 'hearing', 'aid', 'brand/type', 'and', 'dispenser', '?']"
hearing aid,"['whether', 'the', 'hearing', 'aid', 'dispenser', 'is', 'competent', 'and', 'has', 'made', 'the', 'correct']"
hearing aid,"['not', 'the', 'websites', 'of', 'the', 'hearing', 'aid', 'manufacturers']"
hearing aid,"['some', 'digital', 'hearing', 'aid', 'pamphlets', 'say', 'that', 'the', 'aid', 'is', 'able', 'to', 'detect']"
hearing aid,"['becasue', 'of', 'poor', 'hearing', 'aid', 'technology', 'at', 'the', 'time', '?', 'does', 'anyone', 'expereince']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['pick', 'device', 'type', 'airsoft', 'baby', 'monitor', 'barcode', 'scanner', 'battery', 'grips', 'beamer', 'bicycle', 'cables', 'cases', 'cordless', 'drill', 'cordless', 'phone', 'cordless', 'saw', 'daily', 'deal', 'digital', 'camcorder', 'digital', 'camera', 'dog', 'collar', 'drone', 'emergency', 'lighting', 'ereader', 'gaming', 'garden', 'tool', 'gps', 'headphone', 'headset', 'headphones', 'hearing', 'aid', 'home', 'automation', 'household', 'appliances', 'lcd', 'monitor', 'lighting', 'measuring', 'equipment', 'medical', 'memory', 'card', 'motorcyle', 'mp3', 'mp4', 'mp3', '/', 'game', '/', 'multimedia', 'networking', 'notebook', 'notebook', 'adapters', 'payment', 'terminal', 'phone', 'pda', 'power', 'tools', 'printer', 'radio', 'radio', 'control', 'rc', 'raid', 'controller', 'rechargeable', '/', 'disposable', 'battery', 'remote', 'control', 'shaver', 'speaker', 'tablet', 'tools', 'toothbrush', 'two', 'way', 'radio', 'universal', 'adapter', '/', 'chargers', 'universal', 'external', 'batteries', 'ups', 'vacuum', 'cleaner', 'watch', 'pick', 'device', 'type']"
tojo,"['the', 'story', 'starts', 'when', 'a', 'man', 'is', 'shot', 'to', 'death', 'in', 'the', 'ruling', 'territory', 'of', 'the', 'tojo', 'clan', 'the', 'organization', 'that', 'has', 'featured', 'in', 'all', 'games', 'in', 'the', 'series', 'to', 'date']"
