word,sent
care bear,"['care', 'bear', 'cartoons', 'youtube', 'for', 'kids']"
half breed,"['i', 'too', 'am', 'a', 'mutt', 'or', 'as', 'i', 'have', 'been', 'called', 'over', 'the', 'years', 'even', 'by', 'strangers', 'oreo', 'reverse', 'oreo', 'zebra', 'mixed', 'mulatto', 'half', 'breed', 'high', 'yella']"
chinless wonder,"['basically', 'if', 'she', 'looks', 'uncomfortable', 'perhaps', 'there', 's', 'a', 'reason', 'why', 'it', 'might', 'not', 'even', 'be', 'you', 'some', 'other', 'chinless', 'wonder', 'might', 'have', 'harassed', 'catcalled', 'touched', 'or', 'otherwise', 'been', 'a', 'nasty', 'little', 'cocksplat']"
blue eyed devil,"['the', 'blue', 'eyed', 'devil']"
kunta,"['why', 'don', 't', 'they', 'just', 'wheel', 'out', 'kunta', 'kinte', '?']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['she', 'wears', 'a', 'hearing', 'aid', 'in', 'her', 'right', 'ear', 'due', 'to', 'moderate', 'hearing', 'loss']"
cissy,"['since', 'south', 'park', 's', 'the', 'cissy', 'has', 'aired', 'on', 'tv', 'i', 've', 'been', 'singing', 'feeling', 'good', 'on', 'a', 'wednesday', 'almost', 'every', 'wednesday']"
sassenach,"['22', 'jamie', 's', 'i', 'm', 'jamie', 'mctavish', 'face', 'oh', 'but', 'he', 's', 'grown', 'up', 'so', 'much', 'since', 'sassenach']"
hearing aid,"['he', 'is', 'a', 'smooth', 'talker', 'and', 'quick', 'thinker', 'when', 'the', 'occasion', 'demands', 'but', 'is', 'saddled', 'with', 'a', 'cumbersome', 'hearing', 'aid']"
hearing aid,"['hearing', 'aid', 'batteries']"
hearing aid,"['hearing', 'aid', 'batteries']"
birdshit,"['if', 'you', 'want', 'the', 'dime', 'store', 'brand', 'of', 'erotica', 'with', 'poor', 'comma', 'usage', 'name', 'brands', 'and', 'billionaires', 'dropped', 'like', 'birdshit', 'from', 'pigeons', 'and', 'the', 'same', 'old', 'pre', 'made', 'cover', 'art', 'then', 'i', 'm', 'not', 'your', 'man']"
hearing aid,"['batteries', 'hearing', 'aid']"
hearing aid,"['hearing', 'aid']"
